---------------------------------------------------------------------
Országos Egyesületi Váltóbajnokság 2016            V 2016.10.16. 2:57
Online monitor for intermediate times - Client - COM8:
-------------OS2010 © Stephan Krämer SportSoftware 2015--------------

	Read at 	Control 	Chip 	Punch 	Error 
	14:44:01 	Finish 	2022128 	14:43:57 	 
	14:44:03 	Finish 	1396158 	14:43:59 	 
	14:44:39 	Finish 	7205527 	14:44:35 	 
	14:44:48 	Finish 	45176 	14:44:45 	 
	14:45:07 	Finish 	339850 	14:45:03 	 
	14:45:26 	Finish 	300800 	14:45:22 	 
	14:45:36 	Finish 	2048846 	14:45:33 	 
	14:46:37 	Finish 	1396171 	14:46:34 	 
	14:46:48 	Finish 	363486 	14:46:44 	 
	14:48:31 	Finish 	8271078 	14:48:27 	 
	14:53:24 	Finish 	1408162 	14:53:20 	 
	14:53:57 	Finish 	45294 	14:53:53 	 
	14:54:08 	Finish 	443161 	14:54:04 	 
	14:54:31 	Finish 	8070197 	14:54:27 	 
	14:55:04 	Finish 	8636198 	14:55:01 	 
	14:55:42 	Finish 	2019801 	14:55:39 	 
	14:56:18 	Finish 	505298 	14:56:15 	 
	14:57:40 	Finish 	2037752 	14:57:37 	 
	15:04:30 	Finish 	1418060 	15:04:26 	 
	15:05:10 	Finish 	7201392 	15:05:07 	 
	15:05:18 	Finish 	2054403 	15:05:14 	 
	15:05:23 	Finish 	2026854 	15:05:19 	 
	15:06:09 	Finish 	448968 	15:06:06 	 
	15:07:04 	Finish 	9101950 	15:07:01 	 
	15:08:58 	Finish 	2025025 	15:08:55 	 
	15:09:04 	Finish 	448975 	15:09:01 	 
	15:10:22 	Finish 	45916 	15:10:19 	 
	15:10:59 	Finish 	2066480 	15:10:56 	 
	15:11:02 	Finish 	7201396 	15:10:59 	 
	15:11:44 	Finish 	1396236 	15:11:41 	 
	15:12:39 	Finish 	2082338 	15:12:36 	 
	15:15:12 	Finish 	2056157 	15:15:09 	 
	15:17:23 	Finish 	2066452 	15:17:19 	 
	15:17:24 	Finish 	416604 	15:17:20 	 
	15:20:38 	Finish 	1406163 	15:20:35 	 
	15:21:25 	Finish 	416639 	15:21:22 	 
	15:22:52 	Finish 	2006751 	15:22:48 	 
	15:25:22 	Finish 	45569 	15:25:18 	 
	15:25:31 	Finish 	1396206 	15:25:28 	 
	15:26:17 	Finish 	2022142 	15:26:13 	 
	15:26:56 	Finish 	888351 	15:26:53 	 
	15:29:15 	Finish 	9005283 	15:29:11 	 
	15:32:13 	Finish 	2056190 	15:32:10 	 
	15:33:30 	Finish 	46008 	15:33:27 	 
	15:36:40 	Finish 	2088248 	15:36:37 	 
	15:37:45 	Finish 	1396188 	15:37:41 	 
	15:41:09 	Finish 	1396123 	15:41:06 	 
	15:43:04 	Finish 	2019793 	15:43:00 	 
	15:43:23 	Finish 	416618 	15:43:20 	 
	15:47:05 	Finish 	9940325 	15:47:02 	 
	15:47:12 	Finish 	1006648 	15:47:09 	 
	15:47:27 	Finish 	2066484 	15:47:23 	 
	15:47:34 	Finish 	9102026 	15:47:30 	 
	15:47:36 	Finish 	2061626 	15:47:32 	 
	15:48:08 	Finish 	8448444 	15:48:04 	 
	15:54:56 	Finish 	363497 	15:54:53 	 
	15:57:14 	Finish 	8180474 	15:57:11 	 
	15:57:18 	Finish 	45396 	15:57:14 	 
	15:58:16 	Finish 	1409481 	15:58:13 	 
	15:59:04 	Finish 	2019808 	15:59:00 	 
	16:00:49 	Finish 	9201001 	16:00:46 	 
	16:01:57 	Finish 	8220394 	16:01:53 	 
	16:06:53 	Finish 	9970827 	16:06:50 	 
	16:07:55 	Finish 	1302785 	16:07:52 	 
	16:09:39 	Finish 	363404 	16:09:35 	 
	16:14:37 	Finish 	2009132 	16:14:34 	 
	16:14:39 	Finish 	2052309 	16:14:36 	 
	16:14:57 	Finish 	2082355 	16:14:54 	 
	16:15:15 	Finish 	233595 	16:15:12 	 
	16:18:16 	Finish 	2092465 	16:18:12 	 
	16:21:18 	Finish 	2082361 	16:21:15 	 
	16:23:52 	Finish 	2025026 	16:23:49 	 
	16:24:27 	Finish 	1396129 	16:24:24 	 
	16:25:23 	Finish 	7766777 	16:25:19 	 
