---------------------------------------------------------------------
Országos Egyesületi Váltóbajnokság 2016            V 2016.10.16. 2:57
Online monitor for intermediate times - Client - COM8:
-------------OS2010 © Stephan Krämer SportSoftware 2015--------------

	Read at 	Control 	Chip 	Punch 	Error 
	12:21:39 	Finish 	8200082 	12:21:35 	 
	12:22:41 	Finish 	8222228 	12:22:37 	 
	12:22:46 	Finish 	1003316 	12:22:43 	 
	12:23:34 	Finish 	2050679 	12:23:31 	 
	12:24:03 	Finish 	2022178 	12:24:00 	 
	12:24:20 	Finish 	363428 	12:24:17 	 
	12:24:57 	Finish 	4477 	12:24:53 	 
	12:25:06 	Finish 	7675713 	12:25:03 	 
	12:26:42 	Finish 	4616776 	12:26:39 	 
	12:26:44 	Finish 	2037813 	12:26:41 	 
	12:26:47 	Finish 	2082358 	12:26:43 	 
	12:27:13 	Finish 	8636774 	12:27:09 	 
	12:27:15 	Finish 	1841194 	12:27:12 	 
	12:28:44 	Finish 	2009121 	12:28:41 	 
	12:28:46 	Finish 	307788 	12:28:43 	 
	12:28:50 	Finish 	9581212 	12:28:47 	 
	12:28:51 	Finish 	2082372 	12:28:48 	 
	12:29:03 	Finish 	7898987 	12:29:00 	 
	12:29:32 	Finish 	2037712 	12:29:28 	 
	12:29:33 	Finish 	9010328 	12:29:30 	 
	12:29:35 	Finish 	448957 	12:29:32 	 
	12:29:40 	Finish 	339868 	12:29:36 	 
	12:30:04 	Finish 	2037796 	12:30:00 	 
	12:30:32 	Finish 	2008515 	12:30:28 	 
	12:31:23 	Finish 	2019798 	12:31:20 	 
	12:31:26 	Finish 	1396204 	12:31:23 	 
	12:32:11 	Finish 	45449 	12:32:08 	 
	12:32:23 	Finish 	7205528 	12:32:20 	 
	12:32:28 	Finish 	2079343 	12:32:25 	 
	12:32:39 	Finish 	2052342 	12:32:35 	 
	12:32:41 	Finish 	222913 	12:32:38 	 
	12:32:55 	Finish 	339802 	12:32:51 	 
	12:33:13 	Finish 	339898 	12:33:10 	 
	12:33:16 	Finish 	2087750 	12:33:13 	 
	12:33:23 	Finish 	45166 	12:33:19 	 
	12:34:00 	Finish 	4714662 	12:33:56 	 
	12:34:18 	Finish 	7710817 	12:34:14 	 
	12:34:27 	Finish 	247063 	12:34:23 	 
	12:34:53 	Finish 	2069575 	12:34:50 	 
	12:34:57 	Finish 	307786 	12:34:54 	 
	12:35:57 	Finish 	443184 	12:35:53 	 
	12:36:05 	Finish 	1006654 	12:36:02 	 
	12:36:15 	Finish 	8081959 	12:36:11 	 
	12:36:21 	Finish 	2019784 	12:36:17 	 
	12:36:28 	Finish 	4714751 	12:36:25 	 
	12:36:36 	Finish 	502368 	12:36:32 	 
	12:36:41 	Finish 	448980 	12:36:38 	 
	12:36:45 	Finish 	7207212 	12:36:42 	 
	12:37:28 	Finish 	411911 	12:37:24 	 
	12:38:09 	Finish 	416692 	12:38:05 	 
	12:38:10 	Finish 	2054408 	12:38:07 	 
	12:38:30 	Finish 	4719 	12:38:27 	 
	12:39:14 	Finish 	2082353 	12:39:10 	 
	12:39:16 	Finish 	8636767 	12:39:13 	 
	12:39:18 	Finish 	888336 	12:39:14 	 
	12:40:03 	Finish 	2037755 	12:40:00 	 
	12:40:06 	Finish 	2037766 	12:40:03 	 
	12:40:09 	Finish 	2022201 	12:40:05 	 
	12:40:29 	Finish 	4494 	12:40:25 	 
	12:41:18 	Finish 	7789456 	12:41:14 	 
	12:41:58 	Finish 	5623 	12:41:55 	 
	12:42:16 	Finish 	4459 	12:42:13 	 
	12:42:21 	Finish 	1300087 	12:42:17 	 
	12:42:28 	Finish 	2032068 	12:42:25 	 
	12:42:42 	Finish 	9102818 	12:42:39 	 
	12:42:56 	Finish 	45487 	12:42:53 	 
	12:43:35 	Finish 	1396220 	12:43:31 	 
	12:43:48 	Finish 	9000708 	12:43:44 	 
	12:44:21 	Finish 	8636777 	12:44:17 	 
	12:44:22 	Finish 	2037816 	12:44:19 	 
	12:44:32 	Finish 	505279 	12:44:29 	 
	12:44:39 	Finish 	2032056 	12:44:36 	 
	12:44:41 	Finish 	2037758 	12:44:38 	 
	12:45:46 	Finish 	4472 	12:45:43 	 
	12:45:58 	Finish 	2032065 	12:45:55 	 
	12:46:28 	Finish 	2069573 	12:46:24 	 
	12:47:04 	Finish 	2009109 	12:47:01 	 
	12:47:34 	Finish 	2022123 	12:47:30 	 
	12:47:47 	Finish 	2052335 	12:47:44 	 
	12:47:55 	Finish 	7990601 	12:47:52 	 
	12:47:59 	Finish 	7998899 	12:47:55 	 
	12:48:44 	Finish 	2032058 	12:48:41 	 
	12:48:47 	Finish 	2009111 	12:48:43 	 
	12:48:49 	Finish 	1396210 	12:48:46 	 
	12:49:02 	Finish 	2032061 	12:48:58 	 
